item_id,date,quantity_consumed,department,action
1,2024-09-02,1,Chemistry,checkout
1,2024-09-10,1,Chemistry,checkout
2,2024-09-02,5,Chemistry,checkout
2,2024-09-05,3,Chemistry,checkout
2,2024-09-12,4,Chemistry,checkout
3,2024-09-03,20,Biology,checkout
3,2024-09-10,15,Biology,checkout
3,2024-09-17,25,Biology,checkout
4,2024-09-02,2,Chemistry,checkout
4,2024-09-09,2,Biology,checkout
4,2024-09-16,3,Chemistry,checkout
5,2024-09-05,1,Chemistry,checkout
5,2024-09-20,1,Chemistry,checkout
8,2024-09-03,3,Electronics,checkout
8,2024-09-10,4,Electronics,checkout
8,2024-09-17,2,Electronics,checkout
9,2024-09-02,3,Physics,checkout
9,2024-09-16,2,Physics,checkout
10,2024-09-02,2,Chemistry,checkout
10,2024-09-09,1,Chemistry,checkout
11,2024-09-04,2,Electronics,checkout
11,2024-09-11,3,Electronics,checkout
12,2024-09-05,5,Chemistry,checkout
12,2024-09-12,4,Chemistry,checkout
13,2024-09-03,10,Biology,checkout
13,2024-09-10,12,Biology,checkout
13,2024-09-17,8,Biology,checkout
14,2024-09-03,15,Biology,checkout
14,2024-09-10,20,Biology,checkout
14,2024-09-17,18,Biology,checkout
15,2024-09-02,2,Chemistry,checkout
15,2024-09-02,1,Biology,checkout
15,2024-09-09,3,Electronics,checkout
18,2024-09-04,5,Electronics,checkout
18,2024-09-11,4,Electronics,checkout
18,2024-09-18,6,Electronics,checkout
19,2024-09-06,2,Chemistry,checkout
19,2024-09-13,1,Chemistry,checkout
20,2024-09-03,3,Biology,checkout
20,2024-09-10,4,Biology,checkout
20,2024-09-17,5,Biology,checkout
1,2024-10-01,1,Chemistry,checkout
1,2024-10-14,1,Chemistry,checkout
2,2024-10-03,6,Chemistry,checkout
2,2024-10-10,5,Chemistry,checkout
3,2024-10-01,30,Biology,checkout
3,2024-10-08,22,Biology,checkout
4,2024-10-05,3,Chemistry,checkout
4,2024-10-12,4,Biology,checkout
8,2024-10-01,5,Electronics,checkout
8,2024-10-08,3,Electronics,checkout
9,2024-10-03,4,Physics,checkout
11,2024-10-02,3,Electronics,checkout
13,2024-10-01,15,Biology,checkout
13,2024-10-08,11,Biology,checkout
14,2024-10-01,22,Biology,checkout
14,2024-10-08,25,Biology,checkout
18,2024-10-02,7,Electronics,checkout
18,2024-10-09,5,Electronics,checkout
20,2024-10-01,5,Biology,checkout
20,2024-10-08,6,Biology,checkout
1,2024-11-04,2,Chemistry,checkout
2,2024-11-04,8,Chemistry,checkout
2,2024-11-11,6,Chemistry,checkout
3,2024-11-04,35,Biology,checkout
3,2024-11-11,28,Biology,checkout
4,2024-11-04,5,Chemistry,checkout
4,2024-11-11,4,Biology,checkout
8,2024-11-04,6,Electronics,checkout
11,2024-11-04,4,Electronics,checkout
13,2024-11-04,18,Biology,checkout
14,2024-11-04,28,Biology,checkout
18,2024-11-04,8,Electronics,checkout
20,2024-11-04,7,Biology,checkout
1,2024-12-02,1,Chemistry,checkout
2,2024-12-02,4,Chemistry,checkout
3,2024-12-02,15,Biology,checkout
4,2024-12-02,2,Chemistry,checkout
13,2024-12-02,8,Biology,checkout
14,2024-12-02,12,Biology,checkout
1,2025-01-06,2,Chemistry,checkout
1,2025-01-13,1,Chemistry,checkout
2,2025-01-06,7,Chemistry,checkout
2,2025-01-13,6,Chemistry,checkout
3,2025-01-06,28,Biology,checkout
3,2025-01-13,32,Biology,checkout
4,2025-01-06,4,Chemistry,checkout
8,2025-01-06,5,Electronics,checkout
9,2025-01-06,5,Physics,checkout
11,2025-01-06,4,Electronics,checkout
13,2025-01-06,20,Biology,checkout
14,2025-01-06,30,Biology,checkout
18,2025-01-06,9,Electronics,checkout
20,2025-01-06,8,Biology,checkout
